states,2H,5C,18N,75C,129O,147H,190H,221C,285H,310C,311H,369H,375H,395H,404C,406N,477H,711N,712H,722H,723H,526H,528C,507H,545C,568H,675H,782C,853H,855C,857H,861H,905H,953C
0,0.170095,-0.109063,-0.136892,-0.034883,-0.314063,0.015472,0.05414,-0.110514,0.155868,-0.090732,0.050404,0.088551,0.024878,0.060081,0.19203,-0.182392,0.104403,-0.022691,0.144583,0.058794,0.072442,0.060397,-0.068899,0.071751,-0.039935,0.05522,0.05702,0.237329,0.098271,-0.123353,0.001471,0.01187,0.038601,-0.086864
0,0.16465,-0.113796,-0.213303,-0.039607,-0.311038,0.01366,0.053197,-0.107944,0.183698,-0.083073,0.005908,0.088134,0.023275,0.063618,0.203653,-0.170794,0.081757,0.045483,0.170407,0.061592,0.08448,0.057193,-0.095494,0.074031,-0.053501,0.055611,0.051754,0.243961,0.095782,-0.090109,0.007779,0.020801,0.024458,-0.075295
1,0.185183,-0.11979,-0.17611,-0.053147,-0.361447,0.017943,0.05065,-0.135099,0.147577,-0.068345,0.004263,0.09072,0.006444,0.074364,0.185314,-0.116811,0.071476,0.045131,0.179071,0.062996,0.073828,0.064306,-0.072983,0.075238,-0.044192,0.060235,0.066813,0.22273,0.094224,-0.155256,-0.001513,0.010322,0.03335,-0.069141
1,0.154673,-0.053839,-0.174371,-0.036277,-0.300656,0.013112,0.057404,-0.155221,0.158442,-0.056418,0.030752,0.087492,0.02235,0.06124,0.218272,-0.155487,0.080412,0.047508,0.135255,0.055427,0.073457,0.07147,-0.104294,0.079732,-0.061086,0.048329,0.062093,0.226331,0.091037,-0.117328,0.019935,0.010827,0.027663,-0.113631
0,0.157044,-0.055535,-0.192777,-0.071054,-0.35584,0.007903,0.055558,-0.157501,0.176213,-0.066607,0.044615,0.094192,0.022045,0.075813,0.177526,-0.17377,0.057141,0.012945,0.162965,0.075111,0.073414,0.067827,-0.093597,0.081542,-0.04251,0.053124,0.071511,0.220602,0.089977,-0.09858,0.00975,0.014248,0.025607,-0.104324
0,0.15248,-0.100549,-0.167494,-0.051915,-0.32472,0.008809,0.043864,-0.133677,0.183492,-0.060539,0.046057,0.100264,0.027938,0.057141,0.221119,-0.120606,0.069375,0.006584,0.160913,0.046187,0.071646,0.074802,-0.123824,0.080635,-0.038249,0.072624,0.058783,0.210121,0.087134,-0.109176,0.012771,0.011307,0.009664,-0.088933
1,0.184451,-0.080724,-0.168209,-0.064625,-0.336148,0.012573,0.054032,-0.138187,0.154273,-0.086854,0.055918,0.090898,0.022404,0.05726,0.160896,-0.118599,0.10081,0.023285,0.17024,0.030473,0.079055,0.071282,-0.092485,0.07157,-0.062816,0.050942,0.073782,0.239705,0.099676,-0.167043,-0.008227,0.023342,0.038425,-0.111019
0,0.15666,-0.114316,-0.135672,-0.037105,-0.349101,0.016726,0.042915,-0.16496,0.157634,-0.056417,0.024665,0.093826,0.040004,0.068448,0.205776,-0.138553,0.085959,0.04284,0.175877,0.030764,0.080511,0.061904,-0.125148,0.066569,-0.072709,0.068931,0.048964,0.23312,0.095728,-0.094648,0.001593,0.018382,0.035321,-0.070146
1,0.188669,-0.131646,-0.231337,-0.064832,-0.298779,0.015432,0.056823,-0.122979,0.148653,-0.07779,0.012148,0.09614,0.019682,0.067996,0.209698,-0.134553,0.087741,0.034075,0.140263,0.036727,0.083597,0.065014,-0.071697,0.076486,-0.014599,0.063511,0.056931,0.210327,0.093015,-0.110219,0.001436,0.019728,0.002437,-0.050404
1,0.193007,-0.132617,-0.147577,-0.051703,-0.329468,0.020318,0.04776,-0.126902,0.140879,-0.087345,0.044892,0.085942,0.016272,0.056951,0.218913,-0.106761,0.097831,0.067532,0.169682,0.03745,0.072434,0.065733,-0.09104,0.077681,-0.054717,0.051517,0.056187,0.252089,0.093139,-0.074266,0.016159,0.01369,0.037244,-0.096501
1,0.158906,-0.059734,-0.117665,-0.06471,-0.348784,0.016573,0.04613,-0.116769,0.188978,-0.061922,0.047242,0.088842,0.016857,0.052065,0.229435,-0.131229,0.090059,0.024673,0.171621,0.045301,0.072736,0.067636,-0.13293,0.076387,-0.078699,0.059819,0.063661,0.216094,0.089374,-0.103915,0.004157,0.012926,0.037887,-0.096803
1,0.175257,-0.113364,-0.163513,-0.054819,-0.341763,0.007574,0.054496,-0.129206,0.161273,-0.083703,0.041097,0.093627,0.014868,0.068688,0.214253,-0.115113,0.083148,0.042465,0.161447,0.065863,0.058908,0.071694,-0.093225,0.078043,-0.080114,0.039984,0.046486,0.226352,0.088808,-0.16276,-0.010965,0.014488,0.02722,-0.07128
1,0.15545,-0.084877,-0.143701,-0.078493,-0.348392,0.01312,0.052498,-0.119635,0.155776,-0.027305,0.036979,0.093174,0.009626,0.070823,0.19312,-0.138445,0.075196,0.044423,0.177505,0.068853,0.069539,0.052166,-0.128482,0.068358,-0.04325,0.040419,0.050312,0.219223,0.102702,-0.160777,0.001817,0.020734,0.02901,-0.067992
1,0.174832,-0.101684,-0.096132,-0.073933,-0.342531,0.011725,0.047508,-0.169666,0.168363,-0.076182,0.036162,0.090849,0.025811,0.062246,0.223289,-0.123067,0.082199,0.031821,0.169732,0.039311,0.075202,0.07107,-0.085628,0.065568,-0.032239,0.053192,0.056074,0.237989,0.084018,-0.1063,-0.001264,0.017741,0.034033,-0.092904
0,0.184908,-0.122643,-0.182166,-0.065329,-0.343149,0.006362,0.076278,-0.163993,0.176752,-0.093007,0.035204,0.094878,0.027027,0.04886,0.228845,-0.141939,0.087307,0.03049,0.175849,0.055372,0.075301,0.05935,-0.063936,0.075919,-0.054837,0.059508,0.049092,0.222751,0.1018,-0.161719,0.009416,0.021891,0.047193,-0.093
1,0.165552,-0.136043,-0.15866,-0.048438,-0.311719,0.016018,0.06837,-0.109493,0.140221,-0.096665,0.02983,0.083788,0.019553,0.075073,0.168803,-0.11614,0.085855,0.018222,0.184488,0.066719,0.088303,0.065959,-0.070171,0.062584,-0.044026,0.046146,0.061465,0.180723,0.095484,-0.094843,0.00758,0.019003,0.043408,-0.084045
1,0.167908,-0.120466,-0.166163,-0.067773,-0.378679,0.0139,0.054323,-0.131551,0.150967,-0.076178,0.027813,0.097704,0.01978,0.081002,0.198809,-0.122021,0.095323,0.017691,0.139996,0.066068,0.088372,0.060725,-0.114698,0.066842,-0.022219,0.046515,0.066832,0.199857,0.093599,-0.194111,0.020626,0.023333,0.036084,-0.093388
0,0.194781,-0.112303,-0.17989,-0.069167,-0.371222,0.018895,0.066232,-0.10077,0.168118,-0.067459,0.038541,0.083021,0.028803,0.074789,0.23273,-0.171704,0.085051,0.020693,0.164856,0.067191,0.075381,0.039608,-0.102677,0.063777,-0.044192,0.06965,0.051889,0.197513,0.091161,-0.104183,-0.005429,0.014893,0.038614,-0.095348
1,0.181469,-0.068621,-0.09789,-0.036324,-0.37836,0.011499,0.046761,-0.140664,0.15597,-0.084591,0.041893,0.095967,0.016101,0.049516,0.241467,-0.132763,0.087037,0.029322,0.169444,0.054503,0.063756,0.065092,-0.092106,0.092397,-0.092321,0.052962,0.074483,0.210153,0.10448,-0.120039,-0.006381,0.021586,0.021436,-0.132757
0,0.169838,-0.120566,-0.172869,-0.045127,-0.355378,0.0152,0.063104,-0.130913,0.139654,-0.058181,0.048141,0.098475,0.015803,0.054451,0.217779,-0.184883,0.091111,0.018848,0.142272,0.05053,0.074557,0.045475,-0.115569,0.070843,-0.028789,0.0429,0.051272,0.252816,0.076362,-0.168565,-0.011495,0.018749,0.031297,-0.078094
1,0.16072,-0.101543,-0.151756,-0.071874,-0.364276,0.00782,0.053394,-0.128997,0.168157,-0.089555,0.033886,0.085996,0.014756,0.084281,0.184638,-0.086859,0.080548,0.009445,0.138962,0.040252,0.057462,0.066216,-0.095183,0.074347,-0.042171,0.063863,0.074056,0.241714,0.085954,-0.144829,0.005262,0.02416,0.03212,-0.076198
0,0.155277,-0.111961,-0.136352,-0.068753,-0.339177,0.013949,0.070497,-0.12946,0.180218,-0.05686,0.030413,0.086771,0.016079,0.066936,0.202593,-0.078123,0.061827,0.026895,0.187774,0.070893,0.082917,0.081675,-0.125246,0.070678,-0.031657,0.061638,0.077441,0.230416,0.107898,-0.129465,0.008304,0.013207,0.054134,-0.081884
0,0.18974,-0.116334,-0.126858,-0.043589,-0.336724,0.008098,0.050386,-0.128564,0.156311,-0.076005,0.001327,0.091996,0.018832,0.066311,0.20776,-0.115573,0.065049,-0.001408,0.163975,0.066401,0.070915,0.074479,-0.067656,0.081099,-0.041562,0.049431,0.059671,0.167698,0.08864,-0.088421,-0.000113,0.020441,0.046809,-0.046064
0,0.187633,-0.09959,-0.165396,-0.048505,-0.369782,0.008462,0.045969,-0.130609,0.166386,-0.056719,0.051761,0.081855,0.014669,0.04944,0.217124,-0.137121,0.081742,-0.005395,0.159312,0.065818,0.077032,0.062421,-0.072647,0.073182,-0.041696,0.055538,0.069023,0.234828,0.091853,-0.115804,-0.002834,0.02031,0.028569,-0.084211
1,0.151817,-0.078759,-0.163002,-0.049339,-0.380086,0.009412,0.048747,-0.119853,0.154567,-0.08728,0.03024,0.082823,0.023022,0.074029,0.196881,-0.14613,0.084611,0.014567,0.167183,0.062358,0.079726,0.059703,-0.083965,0.07224,-0.006947,0.051457,0.069033,0.230908,0.088036,-0.175901,-0.003498,0.021155,0.036641,-0.060418
1,0.165435,-0.08403,-0.160876,-0.068142,-0.334524,0.015668,0.049091,-0.182547,0.162397,-0.07326,-0.003248,0.086379,0.018893,0.073316,0.218515,-0.14334,0.087493,0.044816,0.155299,0.07201,0.082173,0.083931,-0.108385,0.081473,-0.056125,0.05669,0.071772,0.249266,0.084738,-0.101981,0.011008,0.02093,0.036737,-0.089164
0,0.161717,-0.107995,-0.206882,-0.075007,-0.328938,0.018685,0.053586,-0.161799,0.14557,-0.067136,0.030945,0.098626,0.020071,0.060198,0.202034,-0.136614,0.07385,0.05236,0.1659,0.057052,0.076133,0.070682,-0.108184,0.073822,-0.050105,0.049941,0.053155,0.20605,0.09715,-0.09474,0.003514,0.018339,0.004968,-0.134873
1,0.170185,-0.103344,-0.162061,-0.067274,-0.3615,0.020325,0.069162,-0.133849,0.177289,-0.079193,0.010666,0.085753,0.024348,0.075982,0.181047,-0.095797,0.085128,0.046332,0.168846,0.064195,0.072848,0.059501,-0.081635,0.077131,-0.074332,0.070592,0.074835,0.233414,0.094031,-0.129046,0.022645,0.016325,0.031326,-0.074074
1,0.176605,-0.124028,-0.135429,-0.053042,-0.298775,0.017084,0.050036,-0.147617,0.197872,-0.054065,0.039465,0.099742,0.008649,0.065655,0.246445,-0.150525,0.096784,0.032743,0.155574,0.059662,0.081184,0.072627,-0.120114,0.070355,-0.046566,0.05328,0.068347,0.242225,0.086691,-0.148347,0.005096,0.013887,0.038164,-0.071809
1,0.151051,-0.092447,-0.116315,-0.046113,-0.301492,0.021123,0.076562,-0.132264,0.140839,-0.07117,0.004191,0.102581,0.019467,0.082309,0.192835,-0.124172,0.078092,0.024293,0.157429,0.06924,0.070692,0.048814,-0.102733,0.083734,-0.048824,0.065996,0.062065,0.232628,0.083036,-0.119302,-0.004602,0.019825,0.051101,-0.07997
0,0.180376,-0.068426,-0.160352,-0.068694,-0.352374,0.004838,0.06247,-0.082812,0.150264,-0.105204,0.007519,0.08163,0.022069,0.056957,0.253518,-0.167042,0.131994,0.076348,0.145554,0.06975,0.068567,0.041438,-0.076584,0.086616,-0.088214,0.049883,0.055498,0.251389,0.095882,-0.149402,0.014078,0.017132,0.041846,-0.122138
0,0.168313,-0.126087,-0.143827,-0.043433,-0.321446,0.028885,0.055143,-0.163103,0.172918,-0.059309,0.052014,0.085394,0.021918,0.053935,0.173863,-0.103821,0.090507,0.020988,0.14845,0.070359,0.096543,0.064634,-0.104003,0.07548,-0.000261,0.042214,0.053046,0.221786,0.107194,-0.08739,0.014577,0.017886,0.028467,-0.094153
1,0.185014,-0.122953,-0.161483,-0.052664,-0.327424,0.010304,0.056209,-0.158378,0.167828,-0.081917,0.051837,0.095484,0.013649,0.058288,0.213089,-0.111996,0.09293,0.033705,0.170673,0.073442,0.077334,0.069385,-0.115956,0.065379,-0.039865,0.061159,0.058919,0.252523,0.077616,-0.138517,-0.005907,0.019114,0.03981,-0.057182
1,0.163958,-0.08298,-0.137979,-0.05818,-0.348559,0.022075,0.051366,-0.144089,0.155508,-0.057431,0.041324,0.083585,0.012961,0.070247,0.211892,-0.113464,0.087442,0.010521,0.178324,0.067302,0.083412,0.073721,-0.124752,0.075313,-0.064725,0.046769,0.05688,0.233981,0.084784,-0.04332,-0.010237,0.009024,0.038354,-0.072553
0,0.166497,-0.067304,-0.175255,-0.040025,-0.344279,0.023744,0.057372,-0.155514,0.1686,-0.065712,0.046824,0.099503,0.024925,0.079289,0.213705,-0.158824,0.105231,0.038887,0.144713,0.049657,0.068699,0.062963,-0.07588,0.064793,-0.074083,0.044225,0.083062,0.229249,0.097591,-0.13373,0.012251,0.009434,0.031259,-0.095079
0,0.162373,-0.104436,-0.162849,-0.086059,-0.364932,0.014337,0.069359,-0.116941,0.162502,-0.090589,0.043791,0.109495,0.012859,0.064181,0.159877,-0.108033,0.07303,0.056488,0.169913,0.056099,0.076992,0.081464,-0.104672,0.077531,-0.006683,0.057444,0.064859,0.21928,0.095546,-0.117709,0.010178,0.024508,0.03556,-0.071454
0,0.178533,-0.050088,-0.189215,-0.060514,-0.360907,0.015627,0.063713,-0.150554,0.163619,-0.065493,0.048098,0.093706,0.011223,0.062183,0.218805,-0.105126,0.102973,0.036617,0.153735,0.067217,0.086543,0.065204,-0.099743,0.075521,-0.027343,0.058092,0.049068,0.236785,0.096618,-0.122661,-0.005499,0.016917,0.020481,-0.08331
0,0.177402,-0.068761,-0.142743,-0.067667,-0.32805,0.024115,0.054541,-0.140722,0.17178,-0.094244,0.042871,0.081911,0.021536,0.058636,0.23493,-0.127247,0.093151,0.028294,0.162036,0.027452,0.075476,0.066719,-0.118385,0.075774,-0.041536,0.040351,0.059367,0.251671,0.08848,-0.110526,-0.016751,0.015009,0.019674,-0.084292
0,0.180353,-0.105627,-0.17517,-0.053662,-0.358063,0.014713,0.062209,-0.129094,0.145965,-0.042628,0.039499,0.100719,0.027647,0.065378,0.233109,-0.134526,0.08693,0.035095,0.170156,0.041779,0.074855,0.059696,-0.053148,0.071096,-0.011167,0.062095,0.064856,0.23895,0.087568,-0.222787,0.012846,0.018476,0.029148,-0.120748
0,0.157544,-0.107052,-0.158076,-0.077026,-0.376463,0.006529,0.048345,-0.141615,0.178397,-0.066987,0.037984,0.094172,0.024033,0.062519,0.231622,-0.082909,0.090905,0.022796,0.163454,0.064914,0.078451,0.075994,-0.086544,0.082477,-0.005736,0.062221,0.052435,0.237814,0.089651,-0.123684,-0.000194,0.017182,0.041188,-0.094367
1,0.186961,-0.091025,-0.178862,-0.03181,-0.334104,0.018949,0.059412,-0.17484,0.194548,-0.103886,0.036299,0.092771,0.022174,0.060017,0.201269,-0.12942,0.090894,0.01565,0.150739,0.03929,0.066228,0.067536,-0.101136,0.081332,-0.061517,0.049003,0.065097,0.241662,0.08858,-0.12598,0.005841,0.028481,0.036946,-0.08365
1,0.169043,-0.110095,-0.172968,-0.073261,-0.36836,0.005885,0.079045,-0.125368,0.161356,-0.087058,0.038449,0.095009,0.026422,0.053148,0.202859,-0.075465,0.080593,0.025433,0.159937,0.0655,0.066566,0.057841,-0.057709,0.078362,-0.023113,0.058085,0.068051,0.207168,0.098491,-0.131666,0.007364,0.01718,0.043209,-0.06619
0,0.166742,-0.085646,-0.122173,-0.07619,-0.340315,0.014108,0.060607,-0.144085,0.165491,-0.091561,0.039892,0.070732,0.024774,0.05619,0.237282,-0.182617,0.084718,0.037417,0.166402,0.042932,0.077796,0.077055,-0.07178,0.079012,-0.054125,0.056881,0.058422,0.193979,0.09025,-0.091842,0.005255,0.015118,0.018996,-0.099061
1,0.175262,-0.086002,-0.153129,-0.046161,-0.354616,0.011188,0.073101,-0.135635,0.170869,-0.056916,0.035236,0.10157,0.019672,0.073602,0.215347,-0.105623,0.100419,0.037927,0.1831,0.067985,0.082782,0.072973,-0.075286,0.080763,-0.049882,0.064175,0.063838,0.251172,0.092646,-0.07116,-0.00292,0.011864,0.022047,-0.01104
0,0.171396,-0.104233,-0.181511,-0.069999,-0.294327,0.01419,0.048307,-0.132485,0.157341,-0.063243,0.046323,0.092689,0.021614,0.048384,0.206183,-0.130632,0.085409,0.009672,0.184076,0.044735,0.068456,0.076723,-0.105793,0.081924,-0.033868,0.054041,0.051801,0.241827,0.095891,-0.053669,0.002207,0.017373,0.041029,-0.084436
1,0.174641,-0.090985,-0.149897,-0.045473,-0.3239,0.012006,0.067207,-0.112199,0.158162,-0.065174,0.036041,0.094482,0.014499,0.055292,0.162771,-0.062832,0.092054,0.02257,0.159554,0.064842,0.09001,0.064963,-0.109889,0.085077,-0.023519,0.046435,0.068388,0.224999,0.090309,-0.086571,0.021909,0.022915,0.038668,-0.095841
0,0.171509,-0.098364,-0.120106,-0.073521,-0.335988,0.035855,0.076972,-0.135916,0.177416,-0.044803,0.042815,0.096109,0.03665,0.062744,0.21177,-0.17784,0.10615,0.064097,0.18231,0.041495,0.086413,0.074175,-0.110187,0.071416,-0.024541,0.059048,0.063436,0.182168,0.091557,-0.137969,0.011456,0.009687,0.040295,-0.082876
1,0.166927,-0.109282,-0.147002,-0.063608,-0.353138,0.0095,0.07356,-0.172668,0.152929,-0.061508,0.030967,0.084579,0.031119,0.046649,0.220944,-0.128743,0.090414,-0.007177,0.175786,0.053281,0.083253,0.065392,-0.074259,0.071645,-0.045531,0.048802,0.059608,0.225866,0.098407,-0.09751,0.014736,0.004539,0.040327,-0.112954
0,0.184098,-0.074496,-0.211121,-0.066632,-0.342409,0.016636,0.056156,-0.12444,0.169884,-0.074901,0.037493,0.098071,0.019639,0.064743,0.232529,-0.144907,0.094477,0.053817,0.165615,0.06937,0.072041,0.065604,-0.109383,0.084403,-0.043863,0.073985,0.055411,0.229001,0.089784,-0.118128,0.008389,0.00814,0.032401,-0.096569
1,0.157055,-0.123788,-0.146464,-0.066877,-0.341897,0.013092,0.047223,-0.156558,0.151947,-0.057734,0.042454,0.101721,0.024646,0.086947,0.194384,-0.144994,0.095682,0.028666,0.148192,0.0402,0.075839,0.065333,-0.09076,0.085731,-0.027613,0.050619,0.070485,0.234746,0.094291,-0.101704,0.006613,0.02313,0.031182,-0.050375
0,0.186079,-0.123417,-0.158647,-0.081982,-0.376243,0.012746,0.047834,-0.16277,0.157047,-0.061713,0.040639,0.095805,0.024524,0.061678,0.213666,-0.118692,0.079326,0.035131,0.161626,0.035844,0.080886,0.062273,-0.098212,0.079701,-0.035785,0.064733,0.056479,0.195441,0.090095,-0.116559,0.012554,0.026741,0.026745,-0.08767
0,0.160166,-0.094531,-0.156131,-0.040136,-0.334292,0.023289,0.046565,-0.125845,0.163779,-0.048162,0.03915,0.099243,0.021536,0.054747,0.233854,-0.136243,0.088061,0.042496,0.154055,0.065484,0.093451,0.07164,-0.091289,0.073153,-0.038054,0.082316,0.058458,0.217558,0.10495,-0.080395,0.004946,0.010003,0.033654,-0.076802
1,0.170932,-0.093742,-0.128248,-0.053665,-0.314567,0.020693,0.081778,-0.182387,0.154739,-0.057389,0.039865,0.08749,0.02449,0.078961,0.205137,-0.140157,0.083816,-0.002363,0.177866,0.058624,0.079018,0.067182,-0.124645,0.079995,-0.058874,0.046041,0.050153,0.226145,0.096971,-0.11835,-0.011398,0.007933,0.04208,-0.063831
0,0.173422,-0.079576,-0.139484,-0.060127,-0.347982,0.012517,0.044973,-0.165702,0.174997,-0.080632,0.03145,0.085151,0.010943,0.060068,0.212237,-0.120991,0.085777,0.051725,0.150679,0.045137,0.073542,0.072508,-0.092546,0.081125,-0.040682,0.055399,0.069621,0.220702,0.091525,-0.153,0.02034,0.02823,0.045076,-0.120814
0,0.186672,-0.082622,-0.130873,-0.050647,-0.346445,0.007936,0.053808,-0.128941,0.166086,-0.02858,0.051311,0.090227,0.018208,0.055085,0.210647,-0.135031,0.09078,0.020701,0.162152,0.060291,0.074153,0.0636,-0.11252,0.073444,-0.057886,0.055006,0.06683,0.193569,0.080588,-0.13177,0.009035,0.015072,0.04614,-0.073346
0,0.180698,-0.096859,-0.187546,-0.070605,-0.321077,0.009166,0.04674,-0.130593,0.175913,-0.073486,0.037282,0.091077,0.023212,0.064707,0.244013,-0.157415,0.078382,-2.2E-05,0.175911,0.047307,0.073031,0.056915,-0.093214,0.074409,-0.053504,0.061155,0.054809,0.276958,0.094183,-0.138847,-0.001348,0.016534,0.019261,-0.081885
1,0.16267,-0.115556,-0.186145,-0.040492,-0.37454,0.023101,0.04413,-0.119876,0.173459,-0.065928,0.045552,0.078311,0.032387,0.079266,0.214354,-0.141724,0.086012,0.042151,0.139333,0.038079,0.069233,0.068928,-0.08603,0.083944,-0.034579,0.045339,0.057395,0.217411,0.075362,-0.067307,0.010084,0.00568,0.000947,-0.061767
0,0.17258,-0.08997,-0.147441,-0.06093,-0.315158,0.014838,0.052943,-0.096414,0.165301,-0.071639,0.040629,0.096727,0.017808,0.054071,0.273236,-0.165413,0.083294,0.038534,0.1558,0.044341,0.059926,0.052411,-0.085599,0.091324,-0.038352,0.025306,0.057919,0.231592,0.091199,-0.157225,0.001873,0.011992,0.037552,-0.085559
0,0.144587,-0.088077,-0.165635,-0.064048,-0.369712,0.01689,0.049783,-0.124732,0.172928,-0.09396,0.037116,0.076422,0.009712,0.047959,0.199963,-0.103774,0.093624,0.046712,0.152628,0.022982,0.073066,0.082384,-0.111175,0.078619,-0.049813,0.059314,0.054898,0.214728,0.083639,-0.086276,0.01591,0.010525,0.032865,-0.083165
1,0.156607,-0.088506,-0.212758,-0.052688,-0.334217,0.004162,0.067308,-0.144222,0.153225,-0.096431,0.037525,0.081724,0.008889,0.065091,0.254134,-0.14594,0.090397,0.030617,0.13475,0.034818,0.082836,0.069262,-0.084076,0.066838,-0.017555,0.050984,0.065929,0.212431,0.080106,-0.105288,0.006609,0.014604,0.026963,-0.060026
0,0.163815,-0.076365,-0.172734,-0.046996,-0.32889,0.009961,0.054994,-0.159454,0.187795,-0.056852,0.00537,0.105115,0.026292,0.075405,0.210837,-0.132473,0.095362,0.000726,0.159629,0.075187,0.085606,0.056109,-0.072582,0.072344,-0.027763,0.049137,0.049311,0.210725,0.085918,-0.118692,0.010504,0.015805,0.038118,-0.060939
0,0.166286,-0.105519,-0.197798,-0.065228,-0.356336,0.011136,0.042207,-0.136268,0.162023,-0.067255,0.048767,0.102519,0.029244,0.063798,0.261386,-0.132585,0.084242,0.006207,0.180133,0.061841,0.075487,0.062264,-0.11902,0.054688,-0.01508,0.064704,0.06772,0.192877,0.094441,-0.111209,0.007835,0.012799,0.045854,-0.096227
0,0.164861,-0.111933,-0.144434,-0.053291,-0.32758,0.023443,0.071084,-0.143484,0.181452,-0.061168,0.033393,0.083812,0.013641,0.054123,0.175756,-0.106962,0.076535,0.040796,0.166436,0.074129,0.073839,0.059737,-0.055891,0.071572,-0.047646,0.059119,0.066947,0.220894,0.091384,-0.13815,0.008089,0.017566,0.040718,-0.038026
0,0.194781,-0.112303,-0.17989,-0.069167,-0.371222,0.018895,0.066232,-0.10077,0.168118,-0.067459,0.038541,0.083021,0.028803,0.074789,0.23273,-0.171704,0.085051,0.020693,0.164856,0.067191,0.075381,0.039608,-0.102677,0.063777,-0.044192,0.06965,0.051889,0.197513,0.091161,-0.104183,-0.005429,0.014893,0.038614,-0.095348
